StudyID,Study,T,N,Mean,SD
169,"Wallis et al., 2016",1,23,-2,14.51
170,"Wanderley et al., 2013",2,27,2.5,13.21
170,"Wanderley et al., 2013",1,31,-5.1,11.34
170,"Wanderley et al., 2013",3,27,-7.7,8.52
171,"Watkins et al., 2003",2,14,-7,6.71
171,"Watkins et al., 2003",1,11,-3,7.96
172,"Westhoff et al., 2008",2,12,-7,12.01
172,"Westhoff et al., 2008",1,12,0.5,12.96
173,"Wing et al., 1998",2,37,-2.4,11.73
173,"Wing et al., 1998",1,40,-2,7.31
174,"Wong et al., 2018",2,21,-7,2.91
174,"Wong et al., 2018",1,20,-1,2.85
175,"Wong et al., 2019",2,52,-11,0.63
175,"Wong et al., 2019",1,48,1,0.63
176,"Yavari et al., 2010",2,35,-10.3,10.22
176,"Yavari et al., 2010",1,30,-6.7,10.3
177,"Yavari et al., 2012",2,20,-13,12.26
177,"Yavari et al., 2012",1,20,-1,10.18
177,"Yavari et al., 2012",3,20,-11.3,9.3
177,"Yavari et al., 2012",4,20,-12.8,8.19
178,"Yoshizama et al., 2008",2,12,-4,6.58
178,"Yoshizama et al., 2008",1,12,-2,10.38
178,"Yoshizama et al., 2008",3,11,-5,14.06
179,"Beltran Valls et al., 2013",3,13,-6,32.93
179,"Beltran Valls et al., 2013",1,10,-2,25.85
180,"Castaneda et al., 2002",3,31,-7,12.24
180,"Castaneda et al., 2002",1,31,7.7,14.11
181,"Choi et al., 2020",3,15,-5.5,5.1
181,"Choi et al., 2020",1,12,5.3,6.86
182,"Conceicao et al., 2013",3,10,-7.6,9.96
182,"Conceicao et al., 2013",1,10,1.5,5.07
183,"Dantas et al., 2016",3,13,-5.8,8.05
183,"Dantas et al., 2016",1,12,5,8.52
184,"DeVallance et al., 2016 MetS",3,13,-1,6.83
184,"DeVallance et al., 2016 MetS",1,16,-1,7.59
185,"DeVallance et al., 2016 non-MetS",3,16,-1,7.38
185,"DeVallance et al., 2016 non-MetS",1,12,-2,6.4
186,"Elliot et al., 2002",3,8,-15,12.04
186,"Elliot et al., 2002",1,7,-1,12.04
187,"Franklin et al., 2015",3,10,0,6.32
187,"Franklin et al., 2015",1,8,2,8.16
188,"Gelecek et al., 2012",3,24,-3.75,6.67
188,"Gelecek et al., 2012",1,19,0.48,9.03
189,"Gerage et al., 2013",3,15,-5,4.84
189,"Gerage et al., 2013",1,14,3,5.46
190,"Heffernan et al., 2012",3,11,-6,2.53
190,"Heffernan et al., 2012",1,10,3,2.53
191,"Hsieh et al., 2018",3,15,-8,8.77
191,"Hsieh et al., 2018",1,15,-0.9,9.47
192,"Hu et al., 2009",3,48,-5,9
192,"Hu et al., 2009",1,21,-5,6.08
193,"Jaime et al., 2019 ",3,12,-2,10.94
193,"Jaime et al., 2019 ",1,8,-8,10.94
194,"Kanegusuku et al., 2011",3,13,-5,11.38
194,"Kanegusuku et al., 2011",1,11,-9,8.01
195,"Kawano et al., 2006",3,16,-3,7.59
195,"Kawano et al., 2006",1,11,1,4.43
195,"Kawano et al., 2006",4,12,1,4.36
196,"Lovell et al., 2009",3,12,2,14.7
196,"Lovell et al., 2009",1,12,2,12.5
197,"Miyachi et al., 2004",3,14,0,7.08
197,"Miyachi et al., 2004",1,14,2,6.88
198,"Okamoto et al., 2006 Concentric",3,10,1.2,4.12
198,"Okamoto et al., 2006 Concentric",1,9,-2.4,5.77
199,"Okamoto et al., 2006 Eccentric",3,10,-2.1,5.72
199,"Okamoto et al., 2006 Eccentric",1,9,-2.4,5.77
200,"Okamoto et al., 2008 Concentric",3,10,1,5.85
200,"Okamoto et al., 2008 Concentric",1,10,-3,5.85
201,"Okamoto et al., 2008 Eccentric",3,10,2,9.99
201,"Okamoto et al., 2008 Eccentric",1,10,-3,5.85
202,"Olson et al., 2006",3,15,-15,19.13
202,"Olson et al., 2006",1,15,-2,7.14
203,"Park et al., 2011",3,18,-12.3,8.78
203,"Park et al., 2011",1,22,2.8,9.72
204,"Plotnikoff et al., 2010",3,27,-2.7,7.78
204,"Plotnikoff et al., 2010",1,21,-0.3,7.59
205,"Polito et al, 2020 1 Set",3,14,-1.8,6.75
205,"Polito et al, 2020 1 Set",1,12,1.8,6.4
206,"Polito et al, 2020 2 Set",3,12,-7.1,5.24
206,"Polito et al, 2020 2 Set",1,12,1.8,6.4
207,"Queiroz et al., 2011 Power",3,15,-8,9.8
207,"Queiroz et al., 2011 Power",1,11,-9,8.01
208,"Queiroz et al., 2011 Resistance",3,13,-5,11.38
208,"Queiroz et al., 2011 Resistance",1,11,-9,8.01
209,"Stensvold et al., 2010",3,11,-2.8,10.16
209,"Stensvold et al., 2010",1,11,0.6,16.06
209,"Stensvold et al., 2010",4,10,-3.5,9.3
209,"Stensvold et al., 2010",5,11,-5.8,8.77
210,"Tomeleri et al, 2017",3,22,-7.5,5.24
210,"Tomeleri et al, 2017",1,23,1.1,8.04
211,"Van Hoof et al., 1996",3,15,-4,5.06
211,"Van Hoof et al., 1996",1,15,-4,9.49
212,"Vincent et al., 2003 High",3,24,-3.2,6.08
212,"Vincent et al., 2003 High",1,16,-0.9,11.43
213,"Vincent et al., 2003 Low",3,22,-0.7,10.3
213,"Vincent et al., 2003 Low",1,16,-0.9,11.43
214,"Zanetti et al, 2017",3,10,-4,6
214,"Zanetti et al, 2017",1,11,0,9.86
215,"Badicci et al., 2012",4,36,-7,12.17
215,"Badicci et al., 2012",1,34,-3,11.46
216,"Dos Santos et al., 2014 Eccentric",4,20,-30.85,5.38
216,"Dos Santos et al., 2014 Eccentric",1,20,1.85,5.72
217,"Dos Santos et al., 2014 Traditional",4,20,-35.1,5.2
217,"Dos Santos et al., 2014 Traditional",1,20,1.85,5.72
218,"Ehlken et al., 2015",4,38,-5,11.11
218,"Ehlken et al., 2015",1,41,2,10.92
219,"Figueroa et al., 2011",4,12,-7,9.35
219,"Figueroa et al., 2011",1,12,0,8.79
220,"Frih et al., 2017",4,28,-13.4,3.12
220,"Frih et al., 2017",1,22,1.2,3.61
221,"Garnaes et al., 2016",4,38,-5.9,15.33
221,"Garnaes et al., 2016",1,36,0.2,8.03
222,"Greenwood et al., 2015",4,8,-2.6,10.46
222,"Greenwood et al., 2015",1,10,-7.2,12.43
223,"Jeon et al., 2020",4,21,-1,6.71
223,"Jeon et al., 2020",1,14,-1,7.33
224,"Jones et al., 2020",4,26,-3,7.33
224,"Jones et al., 2020",1,24,-1,9.6
225,"Kagioglou et al., 2021",4,16,-2.2,16.73
225,"Kagioglou et al., 2021",1,16,2,13.62
226,"Karelis et al., 2016",4,10,9,12.17
226,"Karelis et al., 2016",1,10,8,10.32
227,"Martins et al., 2011",4,32,0.7,12.7
227,"Martins et al., 2011",1,31,-3.6,14.22
228,"Masroor et al., 2018",4,15,-19.1,6.12
228,"Masroor et al., 2018",1,13,-0.4,7.06
229,"McGuigan et al., 2001",4,11,-8,6
229,"McGuigan et al., 2001",1,9,-4,9.63
