StudyID,Study,T,N,Mean,SD
297,"Correia et al., 2020",1,52,-3,14.26
298,"Decaux et al., 2021",6,10,-15.2,3.96
298,"Decaux et al., 2021",1,10,0.9,5.4
299,"Farah et al., 2018 Home",6,18,-4,10.24
299,"Farah et al., 2018 Home",1,16,-3,12
300,"Farah et al., 2018 Supervised",6,14,-12,9.49
300,"Farah et al., 2018 Supervised",1,16,-3,12
301,"Gordan et al., 2018 Home",6,5,-9.7,5.53
301,"Gordan et al., 2018 Home",1,9,-2.3,8.3
302,"Gordan et al., 2018 Lab",6,8,-9.1,7.07
302,"Gordan et al., 2018 Lab",1,9,-2.3,8.3
303,"Nemoto et al., 2021 Evening",6,27,-2.6,6.06
303,"Nemoto et al., 2021 Evening",1,26,-1.9,7.97
304,"Nemoto et al., 2021 Morning",6,27,-2.9,5.16
304,"Nemoto et al., 2021 Morning",1,26,-2.1,6.83
305,"Okamoto et al., 2020",6,11,-17,7.96
305,"Okamoto et al., 2020",1,11,-2,6.71
306,"Punia et al., 2019",6,20,-5.75,5.58
306,"Punia et al., 2019",1,20,3.16,4.96
307,"Taylor et al., 2003",6,9,-19,5.65
307,"Taylor et al., 2003",1,8,-8,7.27
308,"Taylor et al., 2018",6,24,-12.3,3.57
308,"Taylor et al., 2018",1,24,0.3,3.29
309,"Wiles et al., 2009",6,11,-5.2,4.24
309,"Wiles et al., 2009",1,11,2.9,6.33
310,"Wiles et al., 2016",6,14,-4,4.84
310,"Wiles et al., 2016",1,14,1,4.22
311,"Yamagata et al., 2020",6,10,-4.6,3.12
311,"Yamagata et al., 2020",1,10,-1.6,5.06
312,"Werner et al., 2021 RT High In",3,10,-1,6.65
312,"Werner et al., 2021 RT High In",1,10,7,6.08
313,"Werner et al., 2021 RT High Vo",3,10,1,7.81
313,"Werner et al., 2021 RT High Vo",1,10,7,6.08
314,"Islami et al., 2021 GymCT",4,16,-12,11.45
314,"Islami et al., 2021 GymCT",1,15,-10.6,8.04
315,"Islami et al., 2021 HomeCT",4,15,-6,7.21
315,"Islami et al., 2021 HomeCT",1,15,-10.6,8.04
316,"Dantas et al., 2023 RT A",3,35,-14.32,10.5
316,"Dantas et al., 2023 RT A",1,35,1.43,11.38
317,"Dantas et al., 2023 RT B ",3,35,-9.43,10.99
317,"Dantas et al., 2023 RT B ",1,35,1.43,11.38
318,"Abrahin et al., 2022",2,10,-11.2,8.9
318,"Abrahin et al., 2022",1,21,-3.1,7.02
318,"Abrahin et al., 2022",3,10,-10.8,9.35
319,"Sardeli et al., 2022",4,23,-3.2,9.3
319,"Sardeli et al., 2022",1,23,-1.7,14.13
320,"Lin et al., 2022 High In RT",3,15,-4.4,9.31
320,"Lin et al., 2022 High In RT",1,12,-6.3,10.64
321,"Lin et al., 2022 Low In RT",3,13,-2.7,8.7
321,"Lin et al., 2022 Low In RT",1,12,-6.3,10.64
322,"Davoodi et al., 2022 ",2,16,-4.75,8.11
322,"Davoodi et al., 2022 ",1,15,0.26,6.75
322,"Davoodi et al., 2022 ",5,16,-8.5,7.04
323,"Li et al., 2022",2,12,-0.8,4.51
323,"Li et al., 2022",1,12,1.2,5.48
323,"Li et al., 2022",5,13,-0.8,1.96
324,"Punia et al., 2022 ",2,30,-5.53,5.77
324,"Punia et al., 2022 ",1,33,4.79,4.79
325,"Songcharern et al., 2022",4,14,-4.4,7.86
325,"Songcharern et al., 2022",1,15,0.8,4.14
326,"Williamson et al., 2022",2,68,-0.7,7.06
326,"Williamson et al., 2022",1,69,-1.2,6.45
327,"Jung et al., 2022",4,14,-7.43,9.72
327,"Jung et al., 2022",1,14,-0.47,7.89
328,"Do Amaral et al., 2022",4,12,-3,14.75
328,"Do Amaral et al., 2022",1,20,-1,13.42
329,"ODriscoll et al., 2022",6,12,-10.5,3.56
329,"ODriscoll et al., 2022",1,12,-2,3.93
