StudyID,Study,T,N,Mean,SD
169,"Ready et al., 1996 5-Day",2,17,3,7.33
169,"Ready et al., 1996 5-Day",1,20,1,6
170,"Saptharishi et al., 2009",2,27,-6,2.88
170,"Saptharishi et al., 2009",1,29,-0.5,4.52
171,"Serwe et al., 2011 Long Bout",2,20,-5,5
171,"Serwe et al., 2011 Long Bout",1,20,1,4.22
172,"Serwe et al., 2011 Short Bout",2,20,-6,5
172,"Serwe et al., 2011 Short Bout",1,20,1,4.22
173,"Shenoy et al., 2010",2,20,-10.8,13.02
173,"Shenoy et al., 2010",1,20,-3.7,4.24
174,"Simons et al., 2006",2,18,2,3.69
174,"Simons et al., 2006",1,21,2,5
174,"Simons et al., 2006",3,21,-2,5.53
175,"Sohn et al., 2007",2,8,-7.1,1.92
175,"Sohn et al., 2007",1,10,0.9,1.74
176,"Stutzman et al., 2010 Normal",2,5,2,6.84
176,"Stutzman et al., 2010 Normal",1,5,1,3.69
177,"Stutzman et al., 2010 Overweight",2,6,3,6.32
177,"Stutzman et al., 2010 Overweight",1,6,8,3.69
178,"Tudor-Locke et al., 2004",2,12,0,5.4
178,"Tudor-Locke et al., 2004",1,9,0,5.06
179,"Tully et al., 2005",2,21,-4,3.69
179,"Tully et al., 2005",1,10,0,4.24
180,"Tully et al., 2007 3-Day",2,44,0,7.17
180,"Tully et al., 2007 3-Day",1,20,0,6.08
181,"Tully et al., 2007 5-Day",2,42,-3,6.65
181,"Tully et al., 2007 5-Day",1,20,0,6.08
182,"Tully et al., 2011",2,8,-7.44,5.24
182,"Tully et al., 2011",1,4,-0.5,5.17
183,"Venojarvi et al., 2013",2,39,-4.1,5.76
183,"Venojarvi et al., 2013",1,40,-2.7,7.26
183,"Venojarvi et al., 2013",3,36,-2.8,4.42
184,"Venturelli et al., 2011",2,12,-2,3.16
184,"Venturelli et al., 2011",1,12,0,1.9
185,"Wallis et al., 2016",2,22,-3,6.32
185,"Wallis et al., 2016",1,23,-3,7.82
186,"Wing et al., 1998",2,37,-1.7,7.89
186,"Wing et al., 1998",1,40,-2.2,5.61
187,"Bouaziz et al., 2019",2,27,-6.1,4.34
187,"Bouaziz et al., 2019",1,29,3.2,4.57
188,"Brixius et al., 2008",2,7,6.1,5.89
188,"Brixius et al., 2008",1,7,-4.7,6.38
189,"Eguchi et al., 2012",2,10,-5,6.74
189,"Eguchi et al., 2012",1,10,-4,7.74
190,"Fairey et al., 2005",2,25,-4.1,7.3
190,"Fairey et al., 2005",1,28,-0.5,7.87
191,"Finucane et al., 2010",2,48,-1.6,5.62
191,"Finucane et al., 2010",1,48,-1,5.81
192,"Fujie et al., 2014",2,18,6.6,7.41
192,"Fujie et al., 2014",1,16,-2.3,5.37
193,"Georgiades et al., 2000",2,36,-5.4,3.82
193,"Georgiades et al., 2000",1,19,0.6,3.68
194,"Goldberg et al., 2012",2,15,-6,1.27
194,"Goldberg et al., 2012",1,15,1.7,1.15
195,"Jabbour et al., 2017 ",2,12,-3,4.02
195,"Jabbour et al., 2017 ",1,12,10,2.41
196,"Lamina et al., 2013",2,162,-1.82,3.09
196,"Lamina et al., 2013",1,162,-1.07,1.75
197,"Lamina., 2011 Contin",2,112,-6.73,3.3
197,"Lamina., 2011 Contin",1,105,-1.07,1.75
198,"Lamina., 2011 Interval",2,140,-7.41,5.26
198,"Lamina., 2011 Interval",1,105,-1.07,1.75
199,"Maeda et al., 2004",2,10,-7,7.17
199,"Maeda et al., 2004",1,5,-1,3.16
200,"Magalhaes et al., 2019",2,28,-3,5.93
200,"Magalhaes et al., 2019",1,27,-2.7,6.51
201,"Mora-Rodriguez et al., 2017",2,23,-7,6.32
201,"Mora-Rodriguez et al., 2017",1,23,-1,6.65
202,"Oue et al., 2019",2,8,-2,3.85
202,"Oue et al., 2019",1,9,0,3.79
203,"Pereira Jorge et al., 2011",2,12,-8.89,7.62
203,"Pereira Jorge et al., 2011",1,12,-6.67,6.36
204,"Pitsavos et al., 2011",2,26,-6.45,3.12
204,"Pitsavos et al., 2011",1,26,-1.15,3.76
205,"Poptempa et al., 1995",2,19,-4,5.5
205,"Poptempa et al., 1995",1,23,-5,6.07
206,"Sakai et al., 1998",2,16,-7,7.38
206,"Sakai et al., 1998",1,13,1,4.83
207,"Sandberg et al., 2021",2,23,-6.2,7.18
207,"Sandberg et al., 2021",1,29,-6.6,7.09
208,"Sikiru., 2013",2,162,-2.72,3.3
208,"Sikiru., 2013",1,161,-1.07,5.31
209,"Van Craenenbroeck et al., 2015",2,19,-3,7.66
209,"Van Craenenbroeck et al., 2015",1,21,-2,5.46
210,"Yoshizama et al., 2008",2,12,-3,6.58
210,"Yoshizama et al., 2008",1,12,-2,8.37
210,"Yoshizama et al., 2008",3,11,-3,9.96
211,"Abdelaal & Mohamad, 2015",2,20,-4.2,0.9
211,"Abdelaal & Mohamad, 2015",1,19,0.5,0.96
211,"Abdelaal & Mohamad, 2015",3,20,-1.3,0.51
212,"Amin-Shokravi et al., 2011",2,20,-4.97,4.7
212,"Amin-Shokravi et al., 2011",1,20,-0.7,3.08
213,"Anderssen et al., 1995",2,13,-17,2.4
213,"Anderssen et al., 1995",1,15,-16.5,3.01
214,"Anshel., 1996",2,15,-3.33,7.41
214,"Anshel., 1996",1,15,-2.42,6.55
215,"Boeno et al., 2020",2,15,-1.9,5.79
215,"Boeno et al., 2020",1,12,1,6.94
215,"Boeno et al., 2020",3,15,-3.1,5.09
216,"Chung et al., 2017",2,16,-4.67,7.74
216,"Chung et al., 2017",1,14,0.16,6.32
217,"Ezema et al., 2014",2,15,-11.27,1.94
217,"Ezema et al., 2014",1,15,0.67,4.08
218,"Foulds et al., 2014",2,14,3,6.71
218,"Foulds et al., 2014",1,10,-1,3.79
219,"Krustrup et al., 2009",2,12,-5,6.4
219,"Krustrup et al., 2009",1,10,2,6.01
220,"Krustrup et al., 2010",2,17,-3,5.19
220,"Krustrup et al., 2010",1,14,-2,4.74
221,"Nybo et al., 2010",2,8,-5,5.22
221,"Nybo et al., 2010",1,11,2,6.26
221,"Nybo et al., 2010",3,9,-7,7.22
222,"Pascoalino et al., 2015",2,31,-4,10.27
222,"Pascoalino et al., 2015",1,9,3,9.49
223,"Patterson et al., 2017",2,14,-4,6.71
223,"Patterson et al., 2017",1,8,1,3.61
224,"Ramos et al., 2018",2,12,-10.1,2.93
224,"Ramos et al., 2018",1,12,1.3,2.71
225,"Ribeiro et al., 2012",2,20,-0.5,5.1
225,"Ribeiro et al., 2012",1,18,2.7,7.52
226,"Richter et al., 2009",2,10,-3.8,2.25
226,"Richter et al., 2009",1,14,6,3.79
227,"Roberson et al., 2018",2,8,0,7.7
227,"Roberson et al., 2018",1,7,6,7.11
228,"Suter et al., 1990",2,39,-2.1,7.62
228,"Suter et al., 1990",1,22,-0.4,7.16
229,"Tsai et al., 2002 A",2,12,-10,5.03
229,"Tsai et al., 2002 A",1,11,0.3,4.97
230,"Tsai et al., 2002 B",2,22,-5.3,7.02
230,"Tsai et al., 2002 B",1,20,4,6.88
231,"Tsai et al., 2004",2,52,-6.3,4.94
231,"Tsai et al., 2004",1,50,4,4
232,"Amaro-Gahete et al., 2019",2,17,-1.56,6.66
232,"Amaro-Gahete et al., 2019",1,17,11.08,6.36
233,"Amozadeh et al., 2018",2,13,0,1.96
233,"Amozadeh et al., 2018",1,13,0,3.05
234,"Ballesta-Garcia et al., 2020 ",2,18,1.11,4.35
234,"Ballesta-Garcia et al., 2020 ",1,18,1.39,4.4
235,"Beck et al., 2013",2,13,-7,4.83
235,"Beck et al., 2013",1,15,0,4.87
235,"Beck et al., 2013",3,15,-8,4.87
236,"Blumenthal et al., 1991",2,39,-6,3.79
236,"Blumenthal et al., 1991",1,22,-5,3.79
